"branch","ncust","customer","age","ed","employ","address","income","debtinc","creddebt","othdebt","default"
3,3017,10012,28,"Bac+2",7,2,44,17.7,2.990592,4.797408,"Non"
3,3017,10017,64,"Bac+5 et plus",34,17,116,14.7,5.047392,12.004608,"Non"
3,3017,10030,40,"Niveau bac",20,12,61,4.8,1.042368,1.885632,"Non"
3,3017,10039,30,"Niveau bac",11,3,27,34.5,1.75122,7.56378,"Non"
3,3017,10071,35,"Niveau bac",2,9,38,10.9,1.462126,2.679874,"Oui"
3,3017,10096,26,"Bac+3",2,4,38,11.9,0.954142,3.567858,"Oui"
3,3017,10128,25,"Niveau bac",4,2,30,14.4,1.04544,3.27456,"Non"
3,3017,10129,65,"Bac+4",29,14,189,5,3.3642,6.0858,"Non"
3,3017,10140,21,"Bac+3",0,0,23,3.9,0.305877,0.591123,"Non"
3,3017,10142,62,"Niveau bac",33,13,96,17.5,6.6864,10.1136,"Non"
3,3017,10169,30,"Bac+4",4,3,39,10.6,2.389452,1.744548,"Oui"
3,3017,10197,38,"Bac+5 et plus",7,7,124,19.1,9.520968,14.163032,"Non"
3,3017,10200,18,"Bac+2",0,0,35,3.9,0.17472,1.19028,"Non"
3,3017,10218,53,"Niveau bac",9,13,41,13.3,2.333884,3.119116,"Non"
3,3017,10234,18,"Bac+2",0,0,15,7.4,0.82806,0.28194,"Oui"
3,3017,10351,18,"Bac+2",0,0,56,15.7,1.837528,6.954472,"Oui"
3,3017,10423,19,"Niveau bac",2,0,31,0.3,0.024552,0.068448,"Oui"
3,3017,10428,19,"Bac+2",0,0,26,5.8,0.586612,0.921388,"Oui"
3,3017,10455,21,"Bac+2",1,1,40,7.6,1.52,1.52,"Oui"
3,3017,10525,47,"Bac+3",8,10,43,6.1,0.359351,2.263649,"Non"
3,3017,10564,40,"Bac+4",17,11,103,13.3,10.41124,3.28776,"Oui"
3,3017,10567,41,"Bac+2",16,11,56,3.4,0.896784,1.007216,"Non"
3,3017,10746,23,"Bac+4",0,2,118,6.4,0.294528,7.257472,"Non"
3,3017,10775,45,"Bac+5 et plus",1,4,58,15.4,2.36698,6.56502,"Oui"
3,3017,10776,37,"Bac+3",15,10,65,5,1.30325,1.94675,"Non"
3,3017,10797,47,"Bac+2",23,14,46,11.7,0.839592,4.542408,"Non"
3,3017,10800,18,"Bac+2",0,0,19,5.2,0.31616,0.67184,"Oui"
3,3017,10805,41,"Niveau bac",3,12,23,10.6,0.14628,2.29172,"Oui"
3,3017,10824,42,"Bac+2",3,12,76,5.2,0.723216,3.228784,"Oui"
3,3017,10839,29,"Bac+4",2,3,45,3,0.6696,0.6804,"Non"
3,3017,10870,24,"Bac+4",0,2,41,8.4,0.788676,2.655324,"Non"
3,3017,10893,40,"Bac+2",15,6,46,10.6,0.819168,4.056832,"Non"
3,3017,10927,21,"Bac+3",0,0,17,17.6,1.373328,1.618672,"Oui"
3,3017,11045,29,"Bac+2",6,4,35,3.3,0.19866,0.95634,"Oui"
3,3017,11057,22,"Bac+3",0,0,24,5.2,0.2808,0.9672,"Oui"
3,3017,11080,58,"Bac+4",24,18,70,6.8,2.29908,2.46092,"Non"
3,3017,11199,53,"Bac+2",14,19,67,6.1,1.06262,3.02438,"Non"
3,3017,11267,31,"Bac+3",5,7,25,6.8,0.4301,1.2699,"Non"
3,3017,11288,26,"Niveau bac",4,2,23,6.9,0.165048,1.421952,"Non"
3,3017,11307,23,"Bac+4",0,0,28,19.2,1.72032,3.65568,"Oui"
3,3017,11329,25,"Bac+2",1,3,19,28.6,2.33662,3.09738,"Oui"
3,3017,11344,25,"Bac+3",0,1,35,9.7,0.132405,3.262595,"Oui"
3,3017,11363,22,"Bac+4",0,1,31,22.8,1.314648,5.753352,"Oui"
3,3017,11423,38,"Bac+3",8,8,35,26.4,3.77916,5.46084,"Non"
3,3017,11461,42,"Bac+2",16,11,49,9.7,0.556101,4.196899,"Non"
